"lon","lat"
-71.58848,-38.46861
-71.77911,-38.46473
-71.63672,-38.46465
-71.74982,-38.46244
-71.71163,-38.46067
-71.51631,-38.4547
-71.49245,-38.43654
-71.50277,-38.4361
-71.48783,-38.43474
-71.49075,-38.43451
146.98,-38.36
175.56429,-38.05426
140.83578,-38.03977
140.68231,-38.03749
140.79327,-38.02346
146.43,-38.01
-65.584,-38.0085
140.63625,-38.008007
140.63608,-38.008
140.64818,-37.92548
140.39844,-37.91699
140.39662,-37.91553
140.40201,-37.90814
175.4747,-37.89786
145.66,-37.875
175.93237,-37.870277
-58.2,-37.83
175.38103,-37.821037
77.55787,-37.81815
140.33344,-37.81415
145.03,-37.8
145.08,-37.8
144.96,-37.78
145.05,-37.78
144.78,-37.75
-58.25,-37.72
145.06,-37.71
140.5151,-37.682972
176.12102,-37.68202
-71.46236,-37.40367
-71.41078,-37.39964
-71.39253,-37.38547
-71.53389,-37.3665
-71.63553,-37.34383
-71.69997,-37.33303
140.23872,-37.314976
147.75,-37.31
149.39754,-37.262875
149.40651,-37.262123
140.92014,-37.210186
149.37585,-37.126705
149.23306,-37.111862
149.86946,-37.101627
149.2337,-37.09563
149.91353,-37.044827
149.58446,-37.021812
149.60504,-37.018208
149.22197,-36.9866
149.7867,-36.972553
149.65677,-36.967945
149.78781,-36.96322
149.78928,-36.96304
149.7859,-36.962868
149.19037,-36.957428
149.53754,-36.94586
149.87828,-36.94248
149.87628,-36.941193
149.88042,-36.939144
149.64735,-36.934464
149.51538,-36.931908
149.61588,-36.92997
149.6335,-36.927525
-71.51967,-36.92036
-71.42378,-36.92033
-71.44383,-36.91897
-71.45278,-36.91756
-71.42433,-36.91422
149.48709,-36.9118
-71.40936,-36.90992
-71.54461,-36.90419
-71.48333,-36.9
149.3163,-36.891453
174.86053,-36.88021
-71.58744,-36.87653
-71.63461,-36.87475
174.82127,-36.84783
149.39153,-36.847237
149.72888,-36.84512
149.79936,-36.833332
149.81761,-36.828274
-71.73783,-36.82297
-73.03,-36.82
149.69331,-36.809868
-71.74944,-36.80969
-71.76278,-36.80336
149.59373,-36.80172
149.59315,-36.80119
149.57979,-36.80022
149.59462,-36.797867
149.72707,-36.797832
149.79593,-36.793983
-71.77481,-36.79125
149.78174,-36.791157
149.78285,-36.791134
149.83595,-36.787624
149.33647,-36.786404
149.73225,-36.786
-71.79697,-36.78586
149.82187,-36.785706
149.823,-36.78568
149.6067,-36.78431
149.81618,-36.78314
149.69308,-36.781357
149.81265,-36.778717
149.81374,-36.77779
149.81812,-36.774982
149.8142,-36.774624
149.81921,-36.774055
174.76666,-36.766666
149.60834,-36.76625
149.61055,-36.7653
149.82172,-36.76108
149.68202,-36.759205
149.70459,-36.758724
149.76483,-36.75731
149.76596,-36.757282
149.76694,-36.753654
149.76355,-36.75283
149.25621,-36.752724
